nama_produk,jenis_produk,harga_retail,harga_diskon,rating
Luxemburg Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",649.0,249.0,2.0
PrettySecrets Fashion Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> PrettySecrets Bras""]",899.0,899.0,1.0
Peri Peri Women's Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Peri Peri Bras""]",1199.0,419.0,1.0
Florentyne Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0
Florentyne Padded Push-up Bra Women's Push-up Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0
JSR Paris Beauty Pro Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> JSR Paris Beauty Bras""]",499.0,214.0,5.0
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,3.2
Triumph Form & Beauty 30 W Women's Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Triumph Bras""]",899.0,899.0,5.0
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,5.0
Grafion Comfortable Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Grafion Bras""]",499.0,79.0,2.0
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,5.0
Florentyne Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Florentyne Bras""]",850.0,399.0,5.0
Hemali Pink Women's T-Shirt Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Hemali Bras""]",1800.0,550.0,4.0
Vaishna Fashion Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vaishna Bras""]",630.0,259.0,5.0
Tia by Ten on Ten Stripey Women's T-Shirt Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Tia by Ten on Ten Bras""]",1199.0,255.0,1.0
Ladyland Comfy Beige Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",749.0,279.0,5.0
Luxemburg Strapless Bandaeu Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",799.0,299.0,5.0
Ladyland Jenifer Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",799.0,349.0,5.0
Ladyland Daisy Purple Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Ladyland Bras""]",729.0,249.0,5.0
Laceandme Super Comfort Women's Stick-on Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Laceandme Bras""]",1250.0,579.0,1.0
Vivity Women's Plunge Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Vivity Bras""]",1000.0,299.0,3.5
"PrettySecrets Women's T-Shirt, Push-up Bra","[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> PrettySecrets Bras""]",899.0,899.0,3.8
Urbaano Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Urbaano Bras""]",1170.0,429.0,3.7
Grafion by Grafion - Comfort Feel Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Grafion Bras""]",899.0,399.0,1.0
Leading Lady Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Leading Lady Bras""]",375.0,170.0,3.9
S4S Comfortable Women's Full Coverage Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> S4S Bras""]",499.0,122.0,5.0
Luxemburg Bandaeu Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",1299.0,499.0,4.0
Luxemburg Women's Tube Bra,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Bras >> Luxemburg Bras""]",649.0,249.0,5.0
